Log
"BUY executed at $0.63, Amount: 31725.5147, Average Buy Price: $0.63, Balance: $0.00"
"SELL executed at $0.89, Profit/Loss: $8226.63, Active Balance: $28146.63, Reserve Account: $8226.63"
"BUY executed at $1.10, Amount: 25457.4265, Average Buy Price: $1.10, Balance: $0.00"
"SELL executed at $1.46, Profit/Loss: $9006.70, Active Balance: $37040.74, Reserve Account: $17233.33"
"BUY executed at $1.46, Amount: 25187.2383, Average Buy Price: $1.46, Balance: $0.00"
"SELL executed at $2.29, Profit/Loss: $20463.65, Active Balance: $57356.23, Reserve Account: $37696.98"
"Reinvested $3769.70 from reserve. New Active Balance: $61125.93, Reserve Account: $33927.28"
"Reinvested $3392.73 from reserve. New Active Balance: $64518.66, Reserve Account: $30534.56"
"Reinvested $3053.46 from reserve. New Active Balance: $67572.12, Reserve Account: $27481.10"
"BUY executed at $2.35, Amount: 28667.9472, Average Buy Price: $2.35, Balance: $0.00"
"Final SELL executed at $2.17, Profit/Loss: $-5448.84, Active Balance: $44033.55, Reserve Account: $39851.70"
